Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
INFO,root,000, Acc-tr,12.52,12.64,3.8424,3.9538
INFO,root,001, Acc-tr,12.86,13.4,2.5265,2.5046
INFO,root,002, Acc-tr,14.68,15.07,2.5089,2.4973
INFO,root,003, Acc-tr,12.2,12.18,3.0662,3.0467
INFO,root,004, Acc-tr,13.75,13.91,2.3647,2.3662
INFO,root,005, Acc-tr,14.16,14.59,2.4884,2.4448
INFO,root,006, Acc-tr,13.44,13.92,2.542,2.5003
INFO,root,007, Acc-tr,12.59,13.41,2.8502,2.7792
INFO,root,008, Acc-tr,13.2,13.12,3.5576,3.3715
INFO,root,009, Acc-tr,12.94,13.3,2.5966,2.5811
INFO,root,010, Acc-tr,10.86,11.06,2.8405,2.8277
INFO,root,011, Acc-tr,13.68,13.71,2.8314,2.7724
INFO,root,012, Acc-tr,13.94,14.28,2.6856,2.6867
INFO,root,013, Acc-tr,11.78,12.19,3.1942,3.2061
INFO,root,014, Acc-tr,15.51,15.8,2.8809,2.874
INFO,root,015, Acc-tr,16.63,16.94,2.4445,2.4389
INFO,root,016, Acc-tr,14.33,14.94,2.6521,2.6533
INFO,root,017, Acc-tr,15.21,15.71,3.6615,3.4369
INFO,root,018, Acc-tr,13.03,13.37,5.3903,5.2483
INFO,root,019, Acc-tr,13.68,14.1,2.6128,2.6062
INFO,root,020, Acc-tr,13.28,13.57,2.9702,2.9011
INFO,root,021, Acc-tr,12.22,12.43,4.2711,4.2763
INFO,root,022, Acc-tr,13.87,14.48,3.3529,3.3294
INFO,root,023, Acc-tr,14.22,14.47,4.7888,4.8347
INFO,root,024, Acc-tr,14.45,14.59,2.7014,2.6944
INFO,root,025, Acc-tr,12.57,12.57,4.2259,4.1859
INFO,root,026, Acc-tr,11.73,12.02,3.5479,3.5137
INFO,root,027, Acc-tr,11.08,11.28,10.9569,10.7772
INFO,root,028, Acc-tr,10.47,10.79,3.4929,3.4789
INFO,root,029, Acc-tr,10.87,11.19,3.1988,3.1705
INFO,root,030, Acc-tr,10.54,10.85,3.8037,3.8065
INFO,root,031, Acc-tr,11.7,11.37,3.3495,3.3357
INFO,root,032, Acc-tr,12.47,12.6,3.0525,3.0449
INFO,root,033, Acc-tr,11.88,12.23,3.1692,3.1415
INFO,root,034, Acc-tr,11.17,11.15,2.8769,2.8764
INFO,root,035, Acc-tr,9.39,9.4,3.622,3.6059
INFO,root,036, Acc-tr,10.6,10.49,3.8869,3.8742
INFO,root,037, Acc-tr,10.52,10.67,3.7343,3.7254
INFO,root,038, Acc-tr,9.79,10.12,3.3912,3.377
INFO,root,039, Acc-tr,9.54,9.53,4.0461,4.0591
INFO,root,040, Acc-tr,11.27,11.49,5.2798,5.248
INFO,root,041, Acc-tr,11.29,11.45,3.3607,3.3447
INFO,root,042, Acc-tr,10.7,10.65,3.2726,3.2645
INFO,root,043, Acc-tr,10.7,10.69,4.2246,4.2048
INFO,root,044, Acc-tr,11.01,11.1,3.5224,3.5104
INFO,root,045, Acc-tr,10.75,10.73,3.2471,3.244
INFO,root,046, Acc-tr,15.63,15.87,2.9186,2.9113
INFO,root,047, Acc-tr,11.44,11.73,3.1343,3.132
INFO,root,048, Acc-tr,12.18,12.02,3.502,3.4993
INFO,root,049, Acc-tr,12.08,12.25,3.0601,3.0532
INFO,root,050, Acc-tr,12.33,12.53,2.954,2.9485
INFO,root,051, Acc-tr,10.98,11.09,3.3337,3.337
INFO,root,052, Acc-tr,11.55,11.56,2.7937,2.7945
INFO,root,053, Acc-tr,11.93,12.33,3.258,3.2517
INFO,root,054, Acc-tr,16.44,16.61,2.9056,2.903
INFO,root,055, Acc-tr,13.61,13.89,2.8528,2.8488
INFO,root,056, Acc-tr,13.32,13.83,3.0441,3.0353
INFO,root,057, Acc-tr,15.1,15.34,2.8023,2.7948
INFO,root,058, Acc-tr,14.49,14.68,2.8519,2.8487
INFO,root,059, Acc-tr,14.52,15.2,3.1087,3.0995
INFO,root,060, Acc-tr,14.2,14.51,2.9131,2.9055
INFO,root,061, Acc-tr,11.28,11.62,2.8637,2.8598
INFO,root,062, Acc-tr,12.95,13.43,3.0795,3.0762
INFO,root,063, Acc-tr,10.57,10.64,3.2235,3.222
INFO,root,064, Acc-tr,10.8,11.2,3.2269,3.2241
INFO,root,065, Acc-tr,10.95,11.08,3.1548,3.1587
INFO,root,066, Acc-tr,12.19,12.38,3.132,3.1318
INFO,root,067, Acc-tr,10.81,11,2.9923,2.9889
INFO,root,068, Acc-tr,11.7,12.12,3.208,3.2014
INFO,root,069, Acc-tr,13.84,14.37,2.8352,2.8227
INFO,root,070, Acc-tr,11.24,11.39,3.1671,3.1568
INFO,root,071, Acc-tr,13.63,14.41,3.1074,3.111
INFO,root,072, Acc-tr,13.33,13.85,3.0641,3.0559
INFO,root,073, Acc-tr,13.1,13.39,3.1176,3.1108
INFO,root,074, Acc-tr,12.92,13.25,2.8773,2.8715
INFO,root,075, Acc-tr,14.49,14.96,2.8116,2.8074
INFO,root,076, Acc-tr,11.23,11.32,3.0096,3.0035
INFO,root,077, Acc-tr,10.56,10.64,3.0703,3.067
INFO,root,078, Acc-tr,16.04,16.63,3.2069,3.2071
INFO,root,079, Acc-tr,11.05,11.22,3.1655,3.1675
INFO,root,080, Acc-tr,15.47,15.56,2.8225,2.8163
INFO,root,081, Acc-tr,17.58,17.94,3.0643,3.0546
INFO,root,082, Acc-tr,11.01,11.19,3.0936,3.0838
INFO,root,083, Acc-tr,12.97,13.23,3.3597,3.3585
INFO,root,084, Acc-tr,10.99,11.01,3.2272,3.2238
INFO,root,085, Acc-tr,13.18,13.33,2.971,2.9669
INFO,root,086, Acc-tr,15.75,15.92,2.8897,2.8881
INFO,root,087, Acc-tr,14.52,14.67,3.3096,3.298
INFO,root,088, Acc-tr,13.51,14.19,2.822,2.8155
INFO,root,089, Acc-tr,16.71,16.9,2.9632,2.9568
INFO,root,090, Acc-tr,11.36,11.62,3.0779,3.0722
INFO,root,091, Acc-tr,15.13,15.27,3.0849,3.0807
INFO,root,092, Acc-tr,15.39,15.7,2.9927,2.9836
INFO,root,093, Acc-tr,16.36,16.78,2.9148,2.9081
INFO,root,094, Acc-tr,11.54,11.85,2.8555,2.8496
INFO,root,095, Acc-tr,11.44,11.55,2.9238,2.9172
INFO,root,096, Acc-tr,14.42,14.61,3.446,3.4488
INFO,root,097, Acc-tr,11.33,11.65,2.9892,2.9815
INFO,root,098, Acc-tr,12.18,12.59,3.1022,3.097
INFO,root,099, Acc-tr,12.41,12.37,3.1279,3.1246
INFO,root,100, Acc-tr,10.18,10.19,3.3151,3.3144
INFO,root,101, Acc-tr,16.09,16.19,2.6792,2.675
INFO,root,102, Acc-tr,12.58,12.87,2.977,2.9666
INFO,root,103, Acc-tr,11.97,11.89,3.208,3.2061
INFO,root,104, Acc-tr,13.43,13.56,3.1943,3.1889
INFO,root,105, Acc-tr,11.25,11.45,3.0207,3.0227
INFO,root,106, Acc-tr,12.91,13.12,2.8179,2.8172
INFO,root,107, Acc-tr,12.03,12.41,3.0986,3.0946
INFO,root,108, Acc-tr,10.78,10.85,3.6457,3.6435
INFO,root,109, Acc-tr,13.81,13.98,2.6381,2.6377
INFO,root,110, Acc-tr,14.07,14.66,3.0305,3.0173
INFO,root,111, Acc-tr,11.38,11.29,3.1569,3.1546
INFO,root,112, Acc-tr,13.85,14.03,3.092,3.0864
INFO,root,113, Acc-tr,13.19,13.56,3.0751,3.0714
INFO,root,114, Acc-tr,14.77,15.12,2.8019,2.7901
INFO,root,115, Acc-tr,14.16,14.34,3.3293,3.323
INFO,root,116, Acc-tr,10.45,10.41,3.4326,3.4271
INFO,root,117, Acc-tr,12.42,12.55,2.9178,2.9133
INFO,root,118, Acc-tr,14.59,14.82,2.932,2.922
INFO,root,119, Acc-tr,15.61,16.25,2.8406,2.8328
INFO,root,120, Acc-tr,12.99,13.23,3.346,3.3398
INFO,root,121, Acc-tr,11.33,11.39,3.3369,3.3315
INFO,root,122, Acc-tr,15.75,16.09,2.8062,2.8049
INFO,root,123, Acc-tr,12,12.1,3.1178,3.1177
INFO,root,124, Acc-tr,12.64,13.15,3.2185,3.2153
INFO,root,125, Acc-tr,13.47,13.95,2.9382,2.9299
INFO,root,126, Acc-tr,13.87,14.43,2.9052,2.9038
INFO,root,127, Acc-tr,13.2,13.49,2.9859,2.9806
INFO,root,128, Acc-tr,10.81,11.11,3.0298,3.0218
INFO,root,129, Acc-tr,11.18,11.2,3.2587,3.2556
INFO,root,130, Acc-tr,14.15,14.31,2.8922,2.8877
INFO,root,131, Acc-tr,11.65,11.85,2.9297,2.9223
INFO,root,132, Acc-tr,11.27,11.73,3.1576,3.1502
INFO,root,133, Acc-tr,10.43,10.49,3.203,3.2072
INFO,root,134, Acc-tr,12.96,13.4,2.9363,2.9376
INFO,root,135, Acc-tr,12.91,13.35,3.0884,3.0864
INFO,root,136, Acc-tr,15.54,15.73,2.8316,2.8247
INFO,root,137, Acc-tr,14.96,15.53,2.8581,2.8524
INFO,root,138, Acc-tr,15.16,15.75,2.8636,2.8585
INFO,root,139, Acc-tr,13.83,14.11,2.7489,2.7333
INFO,root,140, Acc-tr,12.65,12.99,2.9062,2.9055
INFO,root,141, Acc-tr,11.88,12.07,3.2644,3.2626
INFO,root,142, Acc-tr,15.29,15.8,3.1205,3.1194
INFO,root,143, Acc-tr,11.39,11.5,3.0687,3.0611
INFO,root,144, Acc-tr,13.02,13.39,3.2856,3.2811
INFO,root,145, Acc-tr,11.33,11.54,3.0725,3.0633
INFO,root,146, Acc-tr,12.84,13.11,2.9898,2.9739
INFO,root,147, Acc-tr,11.33,11.43,3.0374,3.0363
INFO,root,148, Acc-tr,11.66,12.14,3.0041,3.0005
INFO,root,149, Acc-tr,12.08,12.28,2.9435,2.9378
INFO,root,150, Acc-tr,13.43,13.84,2.9965,2.9917
INFO,root,151, Acc-tr,13.64,14.11,2.9666,2.9616
INFO,root,152, Acc-tr,12.5,13.01,3.0824,3.0751
