MUKEY,musym,muname,areasymbol,areaname,Corn Yield(bu/Ha),Soybean Yield(bu/Ha),Wheat Yield(bu/Ha),Crop Rotations,Removal Rate,Code,Slope(%),SlopeLength(m),T_factor,K_factor,Sand(%),Silt(%),Clay(%),Organic matter(%),Rainfall_Erosivity,Soil erosion,SCI,Organic Matter factor,Field Operation factor,Soil erosion factor,,,,,,,
170995,BeB,"Bennington silt loam, 2 to 6 percent slopes",OH089,"Licking County, Ohio",380,120,150,CSW,0.00,BeB,4,46,5,0.37,26.5,53.5,20,3,120,1.05,0.685,0.346,0.959,0.815,0,,,,,,
170995,BeB,"Bennington silt loam, 2 to 6 percent slopes",OH089,"Licking County, Ohio",380,120,150,CSW,0.20,BeB,4,46,5,0.37,26.5,53.5,20,3,120,4.27,0.417,-0.0173,0.934,0.2516,0,,,,,,
170995,BeB,"Bennington silt loam, 2 to 6 percent slopes",OH089,"Licking County, Ohio",380,120,150,CSW,0.35,BeB,4,46,5,0.37,26.5,53.5,20,3,120,4.98,0.351,-0.115,0.93,0.125,0,,,,,,
170995,BeB,"Bennington silt loam, 2 to 6 percent slopes",OH089,"Licking County, Ohio",380,120,150,CSW,0.52,BeB,4,46,5,0.37,26.5,53.5,20,3,120,5.76,0.293,-0.189,0.927,-0.011,0,,,,,,
170995,BeB,"Bennington silt loam, 2 to 6 percent slopes",OH089,"Licking County, Ohio",380,120,150,CSW,0.83,BeB,4,46,5,0.37,26.5,53.5,20,3,120,8.75,0.0861,-0.442,0.926,-0.5375,0,,,,,,
168538,BgA,"Bennington silt loam, 0 to 2 percent slopes",OH033,"Crawford County, Ohio",420,130,,CS,0.00,BgA,1,53,5,0.37,26.5,53.5,20,3,110,0.537,0.682,0.29,0.962,0.906,0,,,,,,
168538,BgA,"Bennington silt loam, 0 to 2 percent slopes",OH033,"Crawford County, Ohio",420,130,,CS,0.20,BgA,1,53,5,0.37,26.5,53.5,20,3,110,0.683,0.603,0.106,0.962,0.879,0,,,,,,
168538,BgA,"Bennington silt loam, 0 to 2 percent slopes",OH033,"Crawford County, Ohio",420,130,,CS,0.35,BgA,1,53,5,0.37,26.5,53.5,20,3,110,0.775,0.553,-0.0102,0.961,0.8634,0,,,,,,
168538,BgA,"Bennington silt loam, 0 to 2 percent slopes",OH033,"Crawford County, Ohio",420,130,,CS,0.52,BgA,1,53,5,0.37,26.5,53.5,20,3,110,1.12,0.49,-0.133,0.956,0.804,0,,,,,,
168538,BgA,"Bennington silt loam, 0 to 2 percent slopes",OH033,"Crawford County, Ohio",420,130,,CS,0.83,BgA,1,53,5,0.37,26.5,53.5,20,3,110,1.45,0.378,-0.382,0.955,0.744,0,,,,,,
